"","T_CNR4_Avg","SW_in_HQ_temp_Avg","Tair_15m_Avg"
"8144",18.66549,16.67004,17.12589
"8145",19.08941,16.66496,17.18294
"8146",19.72685,16.74128,17.37148
"8147",19.86199,16.93486,17.61901
"8148",19.7164,16.98392,17.71172
"8149",19.45414,17.02971,17.61073
"8150",19.27211,17.02405,17.57341
"8151",19.58907,16.92473,17.60474
"8152",20.55585,16.926,17.78461
"8153",21.79058,16.87235,18.02698
"8154",21.39659,16.95463,18.02402
"8155",21.25486,17.12221,18.28345
"8156",22.32029,17.68377,18.86129
"8157",23.20505,18.89928,20.15449
"8158",23.60393,19.8742,20.80394
"8159",24.67185,20.88709,21.43676
"8160",23.72982,21.53994,21.88773
"8161",22.79818,22.40572,22.82197
"8162",23.89495,23.56931,23.72812
"8163",24.5961,24.32794,24.22726
"8164",25.66306,25.21169,24.95305
"8165",25.98272,25.45809,25.22181
"8166",27.4689,26.59348,26.13047
"8167",28.17666,27.15446,26.63674
"8168",29.65892,28.51557,27.90216
"8169",30.21005,28.96395,28.25956
"8170",30.46708,29.19321,28.81698
"8171",30.72341,29.53737,29.19779
"8172",31.06365,29.96068,29.87507
"8173",30.64409,29.65894,29.56237
"8174",30.40563,29.62973,29.77135
"8175",29.71829,29.21615,29.84674
"8176",27.99705,27.9933,28.94189
"8177",26.55381,26.78681,27.80564
"8178",25.71757,26.00688,26.97117
"8179",25.10601,25.27942,26.21646
"8180",24.62774,24.62039,25.40461
"8181",24.0339,24.03094,24.86232
"8182",23.137,23.06181,23.7668
"8183",21.50948,21.9467,22.87771
"8184",20.95058,21.33968,22.35863
"8185",21.5401,21.653,22.41763
"8186",21.45298,21.42164,22.12026
"8187",21.11767,21.11705,21.95041
"8188",19.62095,20.18636,21.03621
"8189",19.55586,20.08809,21.07079
"8190",19.9032,20.17011,21.23049
"8191",20.36344,20.49438,21.41407
"8192",20.54129,20.58964,21.36623
"8193",20.41493,20.4052,21.15676
"8194",20.16955,20.11932,20.91915
"8195",20.5777,19.51324,20.25222
"8196",21.84346,19.1699,19.88309
"8197",22.31228,19.04089,19.81791
"8198",22.95675,18.88553,19.77025
"8199",23.61873,18.85778,19.83831
"8200",23.61099,18.75119,19.73245
"8201",22.28002,18.85722,19.60591
"8202",21.96414,18.8795,19.61445
"8203",22.08699,19.12594,19.83201
"8204",22.50897,19.57147,20.2085
"8205",21.98691,20.10688,20.66574
"8206",20.95877,20.59117,21.12769
"8207",21.1103,20.88169,21.43711
"8208",21.21131,21.22314,21.75755
"8209",22.35922,22.08065,22.52101
"8210",23.5218,23.06554,23.37083
"8211",25.10225,24.35317,24.4424
"8212",26.9212,25.93954,25.67754
"8213",28.11007,26.97351,26.57406
"8214",28.75973,27.59728,27.10978
"8215",29.7435,28.49222,28.09527
"8216",28.57321,27.77819,27.9331
"8217",28.65869,27.93898,28.1864
"8218",28.95047,28.25252,28.43484
"8219",29.30586,28.47731,28.64222
"8220",28.4103,27.92526,28.30708
"8221",28.51802,28.13885,28.53088
"8222",29.69036,29.2182,29.49574
"8223",29.03135,28.73694,29.16514
"8224",28.78747,28.64787,29.17292
"8225",27.61,27.57311,28.18067
"8226",26.69114,26.70619,27.47744
"8227",25.44978,25.58218,26.38506
"8228",24.52716,24.65475,25.46965
"8229",23.5555,23.62764,24.45891
"8230",23.46173,23.44725,24.30482
"8231",23.10602,23.17029,23.97627
"8232",22.78237,22.9063,23.70626
"8233",22.3917,22.52482,23.32385
"8234",21.81798,21.94767,22.75628
"8235",21.26093,21.4169,22.27582
"8236",21.12847,21.23889,22.10231
"8237",20.96899,21.08164,21.88882
"8238",20.66586,20.7433,21.53909
"8239",20.52025,20.60204,21.41913
"8240",20.15846,20.22617,21.06755
"8241",19.82984,19.87721,20.76373
"8242",19.5366,19.54001,20.34971
"8243",19.68866,19.64863,20.39989
"8244",19.4434,19.42348,20.15426
"8245",19.60923,19.65141,20.42043
"8246",19.93707,19.94092,20.65419
"8247",19.79099,19.80916,20.55043
"8248",19.70345,19.7553,20.48361
"8249",19.93951,19.99066,20.71384
"8250",19.96874,19.9635,20.66026
"8251",20.08691,20.10524,20.83113
